idnum,province,replicat,sample,over,areacode,intdate,intnum,attempts,refusals,contacts,answers,intime,result,rn1,rn2,rn3,rn4,rn5,rn6,rn7,rn8,rn9,rn10,rn11,rn12,rn13,rn14,rsex,nadults,a1,a2,a2a,a2b,a3,a4,a4a,a4b,a6,a6a,a6b,a7,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,c1,c1ab,c2,c2ab,c3,c4,d1a,d1b,d1c,d1d,d1da,d1e,d1ea,d1f,d1fa,d2a,d2b,d2c,d2d,d2e,d2f,d2g,d2h,d2i,d3a,d3b,d3c,d3d,d3e,d3f,d3g,d3h,d4a,d4b,d4c,d4d,d4e,d4f,d4g,d4h,d5a,d5b,d5c,d5d,d5e,d5f,d5g,d5h,d6a,d6b,d6c,d7a,d7b,d7c,d8a,d8b,d8c,d9,d9a,d10a,d10b,d10c,d10d,d10e,d10f,d10g,d11a,d11b,d11c,d11d,d12,d13,d14,d15,e1,e1a,e1b,e2,e2a,e2b,f1a,f1b,f1c,f2a,f2b,f2c,f3,g1,g1ab,g2,g3,g3ab,h1a,h1b,h1c,h1d,h1e,h1f,h1g,h2a,h2b,h2c,h2d,h2e,h2f,h2g,h3,h4a,h4b,h4c,h4d,h4e,h4f,h4g,h5,h5a,i1,i2,i3,i4,j1,j1ab,j2,j2a,j2b,j3,j3a,j3b,j4,k1,k1a,k1b,k1c,k2,k2a,k2b,k2c,l2,l2a1,l2a2,l2a3,l2b1,l2b2,l3,l4a,l4b,l4c,l4d,l5,l6a,l6b,l7,l8,l9,l10,l11,l12,l12a,l13,l14,m1,m2,n1,n2,n3,n4,n5,n6,n7,n8,n8a,n9,n10,n11,n11a,n12,n13,n14,n15,n16,n17,n18,n19,n20,intlang,interest,length,a5a,a5b,a5c,a5d,l1a,l1b,l1c,l1d,xprov,xreplic,xsample,xover,xareacod,xintdate,xintnum,xattempt,xrefusal,xcontact,xanswer,xintime,xresult,xrn1,xrn2,xrn3,xrn4,xrn5,xrn6,xrn7,xrn8,xrn9,xrn10,xrn11,xrn12,xrn13,xrn14,xrsex,xa1,xa2,xa3,xa5a,xa5b,xa6a,xa6b,xa7a,xa7b,xa8a,xa8b,xa9a,xa9b,xb1,xb2,xb2a,xb2b,xb3a,xb3b,xb4,xb4a,xb5,xb5a,xc1,xc2,xc2a,xc3,xc3a,xc4,xc4a,xc5,xc5a,xc5b,xc6,xc6a,xc7,xc7a,xe1a,xe1b,xe1c,xe1d,xe1e,xe1f,xe2a,xe2b,xe2c,xe2d,xe2e,xe2f,xe2g,xe2h,xe2i,xf2,xf3,xf4a,xf4b,xf5,xf6,xf7,xf8,xg1,xg1a,xg1b,xg1c,xg1d,xg2a,xg2b,xg2c,xg2d,xg3a,xg3b,xg3c,xg3d,xh1,xh2,xh3,xh4,xh5,xh6,xh7,xh8,xh9,xh10,xh11,xi1a,xi1b,xi1c,xi2a,xi2b,xi2c,xi3a,xi3b,xi3c,xj1a,xj1b,xj1c,xj2a,xj2b,xj2c,xj2d,xj3a,xj3b,xj3c,xj3d,xj4a,xj4b,xj4c,xj4d,xj5a,xj5b,xj5c,xj6a,xj6b,xj7a,xj7b,xk1,xk2,xk3,xk4,xk5,xk6,xk7,xk8,xk9,xk10,xl1a,xl1b,xl1c,xl2a,xl2b,xl2c,xl2d,xl2e,xl3,xl4,xl5,xl6,xl7,xl8a,xl9a,xl10a,xm1,xm2,xm3,xm4,xn1,xn2,xinteres,xlength,xintlang,xa4a,xa4b,xa4c,xa4d,xf1a,xf1b,xf1c,xf1d,mailid,zintlang,qa1,qa2,qa3,qa4,qa5,qa6,qa7,qa8,qa9,qa10,qa11,qa12,qa13,qb1,qb2,qb3,qb4,qb5,qb6,qb7,qb8,qb9,qb10,qb11,qb12,qb13,qb14,qb15,qb16,qb17,qc1,qc2,qc3,qc4,qc5,qc6,qc7,qc8,qc9,qc10,qc11,qc12,qc13,qc14,qc15,qc16,qc17,qd1,qd2,qd3,qd4,qd5,qd6,qd7,qd8,qe1,qe2,qe3,qe4,qe5,qe6,qe7,qe8,qe9,qe10,qe11,qe12,qe13,qf1,qf2,qf3,qf4,qf5,qf6,qf7,qf8,qf9,qf10,qf11,qg1,qg2,qg3,qg4,qh1,qh2,qh3,qh4,qh5,qh6,qh7,qh8,qh9,qh10,qh11,qh12,zrsex,yrbirth,comments,inpre,inpost,inmail,intype,link,blish81,pinpor81,franco,wt1,wt2,wt3,wt4,wt5,wt6,wt7
2,3,1,1,0,506,100688,7,4,0,2,3,35,1,1,1,1,1,1,2,1,33,3,9,1,1,3,0,1,2,3,0,,,5,1,0,4,,,,4,1,2,,7,5,1,2,1,2,,3,,3,,3,1,3,4,4,8,,8,,8,,,,,25,50,998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,1,2,,1,2,,50,75,20,50,45,10,5,3,,3,5,,2,2,4,4,2,3,8,1,1,4,8,2,3,4,0,4,3,2,2,3,3,3,5,,1,5,,,3,,3,,,3,,,2,5,,,,5,,,,1,,3,,,,5,,5,,,5,3,,1,1,1,1,5,3,1,1,1,5,5,1956,1,5,1,1,8581,5,1,,5,5,2,,5,1,,8,1,1,,5,2,1,3,15,98,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,39.19,10,1,0.242237607830122,0.59103260897961,0.482086884340101,,0.53628495671754,0.969697551688935,1.00286566925967
3,4,1,1,0,514,100988,49,9,0,1,1,30,1,1,0,0,2,1,2,0,24,0,10,4,0,2,1,1,1,2,7,1,3,5,7,12,3,,,,1,1,3,,1,1,1,4,1,5,1,3,,1,2,3,3,1,1,1,5,,5,,5,,50,60,70,50,50,60,,,,2,2,2,1,2,1,2,2,2,2,1,4,2,4,4,2,1,2,2,1,4,2,2,2,,,,,,,,,,,,,,,,,,,,,,,91,,,,3,,4,3,,,50,60,40,50,50,50,1,3,,3,5,,1,1,2,1,2,1,1,2,5,1,5,1,5,5,5,3,4,1,4,3,3,4,1,2,4,,1,3,1,1,3,,,3,,,2,5,,,,5,,,,1,3,,,,,1,,,1,,5,,5,1,1,5,5,1,3,1,5,1,1,5,1943,2,10,1,1,1171,5,1,,5,5,2,,6,1,,8,1,1,1,6,0,2,1,15,12,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,59.44,2,1,0.567576518249523,0.49452623144911,,,0.54671503044919,0.478260848780018,
6,5,1,1,0,519,101688,16,15,0,2,15,28,1,1,2,0,3,1,2,1,16,0,9,4,0,1,1,5,2,3,7,1,4,5,7,10,4,,,,3,1,8,8,,,1,2,5,,,1,2,1,2,8,5,3,4,3,1,4,1,4,8,,,,,75,50,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,5,5,,2,,,5,,4,50,100,0,50,50,0,5,5,4,3,8,,3,1,1,3,8,2,3,4,4,1,4,1,4,4,5,4,8,8,8,3,8,5,5,,4,,1,2,3,,3,,,3,,,4,5,,,,5,,,,3,,,1,,,1,,,,3,5,,3,1,3,5,5,5,3,8,1,5,5,5,1956,2,5,5,1,4131,5,1,,5,5,1,1,0,2,1959,1,3,3,5,3,0,1,3,7,98,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,40.28,9,2,1.5588034125676,1.09449679109384,,,1.47810926023015,0.990867574289685,
9,8,1,1,0,403,101888,999,13,0,3,8,13,2,1,0,0,2,0,1,0,26,0,7,3,0,4,0,5,2,3,2,1,4,5,0,,,,,,4,8,,,,,5,,5,,,5,4,1,2,3,1,3,4,4,5,,5,,8,,,,,70,40,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964,,,,,,,,,,,,,,1,,,,,,,,1,,,98,,,,,,,,8,1,1,0,403,11089,5,3,0,1,3,13,1,1,0,0,2,0,1,0,26,0,7,3,0,4,0,5,3,5,4,5,,8,,1,98,8,,8,,5,,,,8,,8,,8,,5,5,,5,,1,98,5,8,8,5,,,,3,4,4,4,4,4,60,,,60,45,70,,,,1,8,5,,5,5,5,5,1,2,4,2,2,,,,,,,,,60,80,40,70,60,80,40,70,80,70,60,,,,,,,,,,5,5,,5,,,,5,,,,5,,,,5,,,5,,5,,1,1,3,3,3,1,3,3,3,3,8,,8,8,8,8,8,8,8,8,,8,,8,,,998,5,5,5,1964,1,5,20,1,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,2,,,2,0.731678151689714,1.02176403771381,,1.00118925250958,0.690055039327017,1.02176403771381,
11,0,1,2,0,709,101188,1,2,1,1,2,35,1,0,1,0,2,0,2,1,28,1,7,3,1,0,1,5,2,1,7,1,2,5,6,0,2,,,,2,1,1,,7,1,1,2,5,,,3,,8,,3,5,1,1,1,1,2,8,,5,,65,30,40,60,30,50,55,,,2,4,2,2,4,1,2,2,2,2,4,2,2,2,4,4,4,4,4,4,2,2,4,4,2,1,2,,,,,,,1,1,5,1,1,1,1,5,1,1,1,1,2,7,1,,,1,2,,1,2,,85,30,20,75,35,49,1,1,2,1,1,2,1,2,4,3,2,2,3,3,3,2,3,1,3,3,4,5,4,3,4,3,5,5,5,,2,3,,,3,,3,,,1,1,,3,5,,,,5,,,,1,,3,,,,1,,,1,,5,,1,1,1,5,1,1,3,1,1,5,1,5,1934,1,6,5,7,4153,5,1,,1,5,2,,5,1,,2,3,3,1,3,0,1,1,20,12,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,34.11,12,2,0.520347049894415,0.852829477112032,1.03556376033516,,0.490745969589725,0.852829477112032,0.917706676393477
13,4,1,2,0,514,101488,22,10,0,2,4,30,1,0,0,0,3,1,2,1,21,3,10,5,1,0,1,5,3,4,0,,,,1,0,3,,,,3,1,3,,7,5,5,,5,,8,3,,1,2,3,5,4,4,4,8,,8,,8,,,,,56,60,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,,3,,4,8,,,50,50,998,50,50,998,5,8,,8,8,,1,2,2,8,8,8,8,8,,,,,,,2,3,3,3,2,3,3,2,5,,4,,5,,3,,3,,,3,,,4,5,,,,5,,,,1,1,,,,,1,,,,1,5,,3,1,1,5,5,8,3,5,1,5,1,5,1957,5,5,5,5,9999,9,,,5,,2,,0,1,,8,5,5,5,4,9,2,5,24,98,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,9999,20,2,1.36639220831982,1.19052985409938,,,1.64014509134756,1.43478254634004,
20,9,1,2,0,604,101388,11,7,0,2,3,39,1,1,1,0,1,1,2,1,2,0,7,5,0,4,0,5,2,1,6,5,2,5,0,,,,,,2,1,2,,1,1,5,,5,,,5,4,8,,3,1,2,2,2,5,,1,2,8,,30,70,60,30,70,50,,998,,4,4,4,4,3,2,3,5,2,2,2,2,2,4,2,2,2,3,3,2,2,8,5,3,,,,2,1,3,,,,8,,,,,,,,,,,,,998,,5,,3,,4,3,,,20,50,70,40,60,30,1,5,4,1,5,,3,4,4,4,4,4,4,3,3,3,3,4,4,4,3,3,2,3,3,4,4,4,5,,1,1,,,3,,8,,,8,,,8,5,,,,5,,,,5,,,,8,,1,,5,,,1,3,,1,1,5,3,5,1,,1,3,1,5,1960,1,8,5,7,2183,5,3,3,5,5,1,3,7,0,1978,0,3,3,5,3,3,1,3,30,12,,,,4,,,,9,1,2,0,604,11089,999,11,0,1,6,29,1,1,1,0,1,1,2,1,2,0,7,5,0,4,0,5,2,2,3,1,7,5,,1,98,5,,5,,1,2,1,3,,,2,1,2,1,1,5,,5,,1,3,1,8,8,5,,,,2,2,2,3,3,1,0,80,60,0,90,60,0,40,80,5,5,5,,1,8,3,5,1,2,4,5,5,2,2,2,2,2,2,4,2,100,80,60,80,60,30,40,60,40,40,30,8,8,8,8,8,8,1,2,2,5,5,,5,,,,1,1,5,,5,,,,5,,,5,,5,,1,1,5,3,1,1,1,1,1,3,5,1,,3,2,2,8,2,5,1,3,,,1,1,1,266,5,1,5,1960,17,3,20,1,12,,,,4,,,,1670,1,2,1,8,2,2,1,2,2,1,3,3,3,2,3,2,3,3,1,8,8,2,2,4,4,1,3,8,3,3,3,1,8,3,2,3,1,3,1,2,3,8,2,8,1,1,1,1,8,1,1,1,1,8,2,2,3,8,8,3,1,2,2,2,8,1,2,1,8,8,8,8,1,1,8,8,2,1,2,1,1,1,3,2,2,12,1,1,1,2,1,1,1,1,1,6,5,1960,,1,1,1,3,4,60.73,4,2,0.969479840056456,1.05445549509104,,,0.914328858408515,1.05445549509104,
24,4,1,3,0,514,100888,39,2,0,1,2,56,1,0,2,0,3,1,2,0,3,2,2,3,1,4,1,1,1,3,0,,,,1,98,5,,,,4,1,2,,7,5,8,,8,,8,3,,1,2,3,3,3,3,4,8,,8,,5,,,,,60,80,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,,3,,4,8,,,50,998,50,70,30,60,5,1,2,1,1,2,1,3,8,8,1,8,8,1,3,8,8,1,8,3,3,3,8,8,8,8,8,8,5,,2,5,,,1,1,8,,,1,1,,4,5,,,,1,8,,,1,,,3,,,1,,,,1,5,,3,1,1,5,5,5,8,,1,1,5,5,1964,5,7,5,3,2165,5,1,,5,,2,,2,1,,8,1,1,1,2,0,2,3,30,12,,,,12,,,,4,1,3,0,514,121088,55,4,1,2,4,51,1,0,2,0,3,1,2,0,3,2,2,3,1,4,1,1,2,2,5,1,4,1,1,1,98,5,,8,,1,9,,,,,2,1,1,2,1,5,,1,5,1,7,1,1,3,5,,,,2,3,3,4,3,4,40,20,35,40,35,30,,35,,1,8,,3,1,8,1,1,1,2,2,2,4,2,5,2,4,2,4,5,2,50,60,70,100,30,50,50,70,50,70,65,,,,8,8,8,,,,5,5,,5,,,,5,,,,5,,,,5,,,5,,5,,1,1,3,3,3,8,1,3,3,3,1,5,,8,3,3,2,3,5,4,,1,2,3,3,3,81,1,1,1,1964,1,5,30,2,12,18,10,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,2,56.57,5,1,0.567576518249523,0.49452623144911,,,0.54671503044919,0.478260848780018,
31,0,1,4,0,709,100488,12,1,0,1,1,31,1,1,0,1,3,0,2,0,27,5,2,4,0,0,0,1,3,4,0,,,5,0,,,,,,4,1,8,2,4,,1,2,1,2,,3,,3,,3,5,1,2,4,5,,5,,5,,80,60,,50,70,50,,,,1,1,1,1,1,1,1,1,1,5,1,5,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,2,,1,1,,65,40,20,50,70,25,5,1,2,3,1,1,3,2,2,2,1,1,1,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,5,,1,1,,,3,,3,,,3,,,2,5,,,,5,,,,5,,,,,1,1,,,,1,1,3,,5,5,1,1,5,8,,5,3,5,5,1954,5,2,5,3,7313,1,,,5,,2,,4,1,,1,3,3,5,1,0,1,,,98,,,,30,,,,0,1,4,0,709,12289,16,12,0,5,7,32,1,1,0,1,3,0,2,0,27,5,2,4,0,0,0,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,,,1,2,1,2,5,1,1,5,,5,,1,1,3,5,,,,1,1,1,3,3,4,80,60,20,80,50,20,70,30,,1,1,3,,1,1,3,1,1,2,1,1,1,2,2,1,1,1,2,1,1,80,100,70,60,50,70,60,60,50,50,50,1,1,1,2,2,2,,,,5,5,,5,,,,5,,,,5,,,,5,,,5,,1,1,1,1,3,1,3,1,3,3,3,3,1,3,,8,8,8,1,8,8,2,1,,,1,3,5,0,5,5,5,1954,1,1,98,1,98,,,,98,,,,1958,1,1,8,8,2,1,1,2,1,1,3,2,3,1,1,2,3,3,2,4,8,3,3,3,3,2,3,3,3,3,2,2,1,1,2,8,1,2,2,1,1,2,1,2,1,1,2,8,1,2,1,2,8,8,1,8,1,1,2,8,8,1,2,1,8,2,1,1,2,8,1,2,1,1,8,1,1,1,1,1,8,2,2,1,1,1,2,1,2,3,1,1,1,1,1,1,1,1954,,1,1,1,3,4,24.59,13,2,0.780520574841621,1.27924421566804,1.55334564050277,,0.736118954384589,1.27924421566804,1.3765600145902
36,5,1,4,0,519,100588,999,4,0,1,3,40,1,0,1,1,1,0,0,0,3,2,2,0,1,3,1,1,2,1,0,,,5,0,,,,,,1,1,3,,9,1,1,2,1,2,,5,8,5,8,5,1,3,3,1,1,1,8,,1,3,,,75,45,35,70,5,,,,,,,,,,,,,,,,,,,1,1,2,1,1,2,1,2,5,1,2,,,,,,,1,1,1,1,1,1,5,5,1,1,5,5,4,150,1,,1,9,,,3,,,30,45,55,40,45,55,1,5,4,5,5,,3,8,3,3,3,4,3,2,4,1,3,1,8,3,2,4,1,1,3,8,9,3,1,2,3,3,,,3,,5,,5,3,,,5,5,,,,5,,,,1,,1,,,,8,,1,,,1,,1,3,1,5,1,5,3,1,3,1,1,5,1948,5,9,5,1,2351,5,5,3,1,5,7,,,1,,1,3,3,1,5,9,1,3,50,98,,,,30,,,,5,1,4,0,519,10789,62,7,0,1,6,45,1,0,1,1,1,0,0,0,3,2,2,0,1,3,1,1,1,1,5,1,7,8,,5,,5,,1,7,1,3,1,1,,,3,2,1,3,1,1,3,5,,1,7,1,2,3,1,6,5,,1,1,1,1,1,1,2,35,75,15,15,65,0,45,80,5,5,,1,1,1,1,5,1,4,5,4,5,2,5,2,5,1,2,1,5,90,999,50,80,90,60,90,90,90,50,2,5,1,5,4,4,5,2,2,4,1,1,3,1,1,1,3,5,,,,1,1,1,3,5,,,1,1,5,,3,9,5,5,9,3,9,1,3,3,5,5,,2,1,2,4,2,1,3,1,,,1,1,3,150,1,1,1,1948,1,3,25,1,12,25,,,30,,,,1111,1,1,3,2,3,2,2,1,1,2,2,3,1,2,4,2,3,4,2,3,3,3,3,2,2,2,2,2,3,3,1,1,2,1,2,2,2,3,3,2,2,2,2,1,1,3,1,2,2,1,1,1,1,2,1,2,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,2,2,2,2,1,2,1,2,1,1,1,3,2,11,12,4,6,10,5,9,1,8,3,7,2,1,1948,1,1,1,1,3,4,55.4,2,2,1.5588034125676,1.09449679109384,,,1.47810926023015,0.990867574289685,
