id,year,date,country,speaker,speaker_turn,party,text
Sarkozy_Hollande,2012,2012-05-02,France,David PUJADAS,1,Journaliste," Bonsoir et bienvenue pour ce grand débat du second tour. c'est une tradition de la République très attendue, c'est un moment important de la vie démocratique. Bonsoir Laurence Ferrari. "
Sarkozy_Hollande,2012,2012-05-02,France,Laurence FERRARI,2,Journaliste, Bonsoir David. Bonsoir à tous. Bonsoir Messieurs. 
Sarkozy_Hollande,2012,2012-05-02,France,François HOLLANDE,3,parti socialiste, Bonsoir. 
Sarkozy_Hollande,2012,2012-05-02,France,David PUJADAS,4,Journaliste, Bonsoir François Hollande. 
Sarkozy_Hollande,2012,2012-05-02,France,Nicolas SARKOZY,5,Les Républicains, Bonsoir. 
Sarkozy_Hollande,2012,2012-05-02,France,Laurence FERRARI,6,Journaliste," Merci de votre participation à ce débat. Les Français et les Françaises qui nous regardent pourront ainsi vous juger sur vos programmes, mais aussi sur vos personnalités. "
Sarkozy_Hollande,2012,2012-05-02,France,David PUJADAS,7,Journaliste," Alors ce débat nous l'animerons dans un souci bien sûr de stricte équité, de stricte égalité des temps de parole - les chronomètres en font foi ? et de la plus grande clarté possible. Alors voilà un peu le programme. Nous avons décidé d'abord d'aborder les thèmes économiques : la croissance, l'emploi, le pouvoir d'achat, les comptes publics ? c'est-à-dire le déficit, la dette, les impôts. Ensuite nous parlerons de quelques-uns des grands sujets qui ont été souvent débattus durant cette campagne, du logement à l'éducation en passant par l'immigration. Nous évoquerons ensuite des sujets plus politiques et notamment les règles de la vie démocratique. Et puis nous évoquerons les sujets internationaux. D'abord quelques mots en guise d'introduction, Laurence. "
Sarkozy_Hollande,2012,2012-05-02,France,Laurence FERRARI,8,Journaliste," Alors effectivement, avant d'entrer dans le vif du débat, une première question sur votre état d'esprit à l'un et à l'autre. Nous sommes à un moment très important de cette campagne. Qu'est-ce que vous attendez de ce débat ? Comment est-ce que vous l'abordez et surtout, comment est-ce que vous vous sentez à quatre jours du scrutin ? Je me tourne vers vous François Hollande, pour cette première réponse puisque le tirage au sort vous a désigné pour parler le premier. C'est donc Nicolas Sarkozy qui conclura cette émission. Monsieur Hollande, sur votre état d'esprit ? "
Sarkozy_Hollande,2012,2012-05-02,France,François HOLLANDE,9,parti socialiste," Dimanche, les Français vont choisir leur prochain président de la République. C'est une décision importante, grave, pour cinq ans. Et donc je dois dire ce soir quel président je serai si les Français m'accordent leur confiance. Je serai le président de la justice, parce que nous traversons une crise grave, dure, qui frappe notamment les plus modestes, les plus travailleurs, ceux qui þÿsont les plus exposés. Et donc je veux que la justice soit au cSur de toutes les décisions publiques. Les privilégiés ont été trop protégés. Et donc ce sera la justice fiscale, la justice sociale, la justice territoriale qui inspireront mon action. Je serai aussi le président du redressement. La France a décroché. Le chômage est à un niveau historique. La compétitivité s'est dégradée. Et donc je veux être le président qui redressera la production, l'emploi, la croissance. Ce sera un effort très long qui appellera la mobilisation de tous, de tous les acteurs. Et c'est pourquoi je veux être aussi le président du rassemblement. Pendant trop d'années, les Français ont été opposés systématiquement les uns par rapport aux autres, divisés, et donc je veux les réunir. Car je considère que c'est de toutes les forces de la France dont nous avons besoin. Et c'est ainsi que reviendra la confiance. Elle est indispensable à l'action publique - la confiance à l'égard d'un président, la confiance à l'égard d'une politique, d'une vision, d'une idée de nous-mêmes, qui nous permet de repartir de l'avant. C'est le sens du changement que je propose. "
Sarkozy_Hollande,2012,2012-05-02,France,David PUJADAS,10,Journaliste," Nicolas Sarkozy, votre état d'esprit ? Qu'attendez-vous de ce débat ? "
